({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'anti-satellite-test-ban: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9366197183098591')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9113924050632911')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9230769230769231')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9230769230769231')
({'el-salvador-aid: no', 'Class Name: democrat', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9113924050632911')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9056603773584906')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.972972972972973')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'el-salvador-aid: no', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9863013698630136')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9230769230769231')
({'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9230769230769231')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9290322580645162')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.935064935064935')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'el-salvador-aid: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9383561643835616')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9383561643835616')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat'}, {'el-salvador-aid: no'}, 'confidence: 0.9383561643835616')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9072847682119205')
({'el-salvador-aid: no', 'Class Name: democrat', 'superfund-right-to-sue: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9319727891156463')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9072847682119205')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9319727891156463')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9785714285714285')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9383561643835616')
({'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9383561643835616')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9319727891156463')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383561643835616')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9432624113475178')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9432624113475178')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.910958904109589')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'crime: no'}, {'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.910958904109589')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.95')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat'}, {'el-salvador-aid: no'}, 'confidence: 0.95')
({'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9236111111111112')
({'el-salvador-aid: no', 'Class Name: democrat', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9236111111111112')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9432624113475178')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9432624113475178')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9925373134328358')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9925373134328358')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9366197183098591')
({'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9366197183098591')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9568345323741008')
({'anti-satellite-test-ban: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9568345323741008')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9212121212121213')
({'mx-missile: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9101796407185628')
({'mx-missile: yes', 'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9101796407185628')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9382716049382716')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9382716049382716')
({'mx-missile: yes', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.95')
({'el-salvador-aid: no', 'mx-missile: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9743589743589743')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'mx-missile: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9047619047619048')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9620253164556962')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.987012987012987')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9101796407185628')
({'el-salvador-aid: no', 'mx-missile: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9156626506024096')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.987012987012987')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.987012987012987')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.926829268292683')
({'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9325153374233128')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9225806451612903')
({'mx-missile: yes', 'Class Name: democrat', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9470198675496688')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'education-spending: no', 'mx-missile: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.910828025477707')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9662162162162162')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9862068965517241')
({'physician-fee-freeze: no', 'mx-missile: yes', 'Class Name: democrat', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9050632911392406')
({'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9662162162162162')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9662162162162162')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes', 'education-spending: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.934640522875817')
({'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9407894736842105')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.916083916083916')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9562043795620438')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9849624060150376')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.903448275862069')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'mx-missile: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9357142857142857')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9703703703703703')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'physician-fee-freeze: no'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.916083916083916')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9225352112676056')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9849624060150376')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9849624060150376')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9357142857142857')
({'mx-missile: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9424460431654677')
